Time,CO,C6H6,T,RH,NOx
15,0.9,2.5,10.4,82.9,198
16,1.1,3.1,10.6,82.1,211
17,1,3.5,11.5,72.6,183
18,1.6,5.7,12.8,65.5,277
19,1.8,5.8,13.9,60.9,267
20,1,2.7,14.9,57.9,123
21,0.8,2.2,14.8,63.5,68
22,1.4,5.8,13.6,68.9,186
23,2.1,6.9,13.6,68.9,321
0,2.3,9.1,13.5,67.1,343
1,3.5,14,12.3,75.4,550
2,3.8,13.1,11.7,80,598
3,2.4,7.2,11.8,82.7,390
4,1,3.8,11.8,77.5,159
5,1.3,5.2,12,72.3,193
6,2.3,7.4,11.2,79.6,316
7,1.5,3.9,11.5,74.2,199
8,1.1,2.7,11.6,68.9,134
9,0.6,1.5,11.5,67.4,-200
10,0.7,1.3,11.7,64.6,63
11,0.4,0.7,11.9,61.1,50
12,0.5,1.4,12.5,57.3,93
13,0.8,3,12.3,60.1,161
14,1.9,9.1,11.5,68.7,368
15,2.3,10,12.5,63.2,344
16,1.9,8.6,12.9,63.2,288
17,1.6,6.4,13.5,59.9,244
18,1.4,6.2,13.4,61.3,224
19,1.5,5.7,14.4,57.1,206
20,1.4,5,15,57.2,163
21,2,8,12.4,72.6,296
22,2.5,10.5,12.8,73.6,386
23,2.2,6.9,13.3,68.2,262
0,2,7.8,13.4,66.6,212
1,2.1,8,13.3,63.6,245
2,2.1,8.1,12.9,62.4,263
3,2.1,7.5,12.4,64.7,300
4,1.6,6,12.1,65.6,242
5,1.1,3.2,11.3,69.8,152
6,1.2,4.1,11,68.7,165
7,-200,3.1,11.1,65.3,-200
8,-200,2.9,10.2,66.9,-200
9,-200,3,9.5,70.1,-200
10,-200,2.5,9.8,69.4,-200
11,-200,0.9,10.7,62.5,-200
12,-200,1.8,10.4,64.8,-200
13,-200,6.6,9.7,73.1,-200
14,-200,15.3,9.3,77,-200
15,-200,23.4,9.1,77.1,-200
16,-200,15.3,10.6,67.9,-200
17,-200,9.2,12.7,56.7,-200
18,-200,10.4,13,53.9,-200
19,-200,14.8,13.9,49,-200
20,-200,14.6,14.4,49.2,-200
21,-200,10.7,14.3,48.6,-200
22,-200,15.5,13.6,52.8,-200
23,-200,14.9,13.1,54.3,-200
0,-200,12.4,12.4,59.3,-200
1,-200,11.2,12.1,61.5,-200
2,-200,11.3,12,60.8,-200
3,-200,12.9,11,73.8,-200
4,-200,6.4,9.6,82.9,-200
5,-200,3.6,8.6,83.5,-200
6,-200,2.9,8.7,83,-200
7,-200,2.8,8.8,81.2,-200
8,-200,2.8,8.9,79,-200
9,-200,2.2,9,76.5,-200
10,-200,1,9,75.8,-200
11,-200,1.4,9.1,73.9,-200
12,-200,1.6,9.4,70.9,-200
13,-200,2,10.1,65.9,-200
14,-200,3.4,10.1,64.6,-200
15,-200,2.9,9.3,64.7,-200
16,-200,3,9.9,61.3,-200
17,-200,3.3,10.6,59.9,-200
18,-200,4.3,11.1,55.3,-200
19,-200,5.5,12,49.3,-200
20,-200,4.5,11.6,46.8,-200
21,-200,4.1,12,44,-200
22,-200,4.5,11.8,44.3,-200
23,-200,4.9,11.3,45.4,-200
0,-200,9,11.3,44.1,-200
1,-200,9,11.2,45.1,-200
2,-200,7.2,10.8,47.3,-200
3,-200,4.7,10.7,47.7,-200
4,-200,3.3,10.5,46.9,-200
5,-200,2.7,10.2,45.4,-200
6,-200,2.2,9.7,46,-200
7,-200,2.8,9.8,45.2,-200
8,-200,1.8,9.4,45.4,-200
9,-200,1.5,9.3,44,-200
10,-200,0.9,8.8,45.2,-200
11,-200,1.1,8.7,45.6,-200
12,-200,0.7,8.5,44.8,-200
13,-200,1.4,8.7,43.4,-200
14,-200,6.2,8.5,43.6,-200
15,-200,6.1,8.8,42,-200
16,-200,5,10.8,35.1,-200
17,-200,4.1,11.7,34.4,-200
18,-200,4.4,12.6,31.7,-200
19,-200,4.6,12.5,30.3,-200
20,-200,4.3,11.4,32.8,-200
21,-200,3.6,12.1,31.1,-200
22,-200,5.6,12.3,29.7,-200
23,-200,4.8,9.8,36.4,-200
0,-200,8.1,9.3,40.8,-200
1,-200,5.2,8.6,45.1,-200
2,-200,10.2,9.3,41.7,-200
3,-200,5.5,8.7,44.3,-200
4,-200,3.1,8,47.6,-200
5,-200,4.2,7.7,47.2,-200
6,-200,6.2,7.2,50.2,-200
7,-200,4.8,6.9,50.3,-200
8,-200,3,6.7,50.7,-200
9,-200,1.2,7.6,46.4,-200
10,-200,0.4,7.4,45.7,-200
11,-200,0.4,6.9,49.3,-200
12,-200,0.6,7.8,48.1,-200
13,-200,1.1,8.1,47.8,-200
14,-200,1.6,8.5,46.7,-200
15,-200,3.1,8.9,44.1,-200
16,-200,5.6,9.4,42.5,-200
17,-200,4.5,10.8,36.3,-200
18,-200,3.8,11.9,30.6,-200
19,-200,6.2,12.2,29.7,-200
20,-200,5.6,12,31.1,-200
21,-200,4.1,12.7,28.4,-200
22,-200,5.6,13.3,27.5,-200
23,-200,7.6,11.4,30.8,-200
0,-200,6.1,9.8,34,-200
1,-200,5.3,9.3,33.6,-200
2,-200,5.3,9.6,32.3,-200
3,-200,5.5,9.1,32.5,-200
4,-200,5.6,9.1,37.2,-200
5,-200,4.6,7.8,38.4,-200
6,-200,4.2,8.2,40.1,-200
7,1.6,8.8,5.3,50.7,215
8,2.5,7.5,5.9,50,300
9,2.7,7.6,4.9,53.9,-200
10,1.9,5.6,4.3,55.3,253
11,1.4,4.8,4.2,57.1,181
12,1.5,5.3,3.5,58.3,171
13,1.4,4.5,3,60.7,168
14,1.1,3,2.6,63.2,169
15,1,3,3.9,59,145
16,1.2,4.7,4.7,57.2,190
17,1.7,5.4,6.8,48.6,225
18,2.3,7.4,8.6,43.6,261
19,2.2,8.4,9.5,41.2,382
20,2.4,8.9,10.9,35.9,357
21,2.2,7.9,12.5,32.3,299
22,2.1,7.7,12.8,32.6,313
23,3,12.1,10.9,39.7,510
0,4.7,16.6,9,51.8,832
1,3.6,11.4,8.1,54.1,622
2,2.5,7.9,7.8,54.6,402
3,2.3,8.1,6.2,59.6,334
4,2.1,6.4,5.7,59.9,295
5,1.7,5.2,5.6,59.7,222
6,1.8,5.2,4.7,62.9,230
7,1.6,4.3,4.5,63.5,195
8,1.3,3.6,4.5,63.6,167
9,1.3,4.5,3.1,70,-200
10,1.3,3.3,3.2,68.3,148
11,1.1,2.7,3.1,69.2,123
12,1,2.4,2.4,71.9,148
13,1,2.6,3.1,68.7,143
14,1.2,3.4,2.1,73.1,180
15,1.3,3.9,3.3,68.2,226
16,1.6,4.9,4.1,65.8,254
17,2.2,7.5,6.6,56.6,372
18,2.2,7.1,8,51.2,379
19,2.8,9.6,10.3,44.9,478
20,2.1,6.5,12.3,41.7,344
21,1.6,5.5,13.5,41.3,258
22,2.8,10.5,13.4,43.1,474
23,2.6,8.9,9.9,53.3,438
0,2.8,8.8,8.9,54.6,451
1,2.9,10.5,8.9,54.8,473
2,3.4,13,8.3,58.2,560
3,2.9,-200,-200,-200,470
4,3.2,-200,-200,-200,506
5,3.1,-200,-200,-200,482
6,3,-200,-200,-200,436
7,3.4,-200,-200,-200,472
8,3,-200,-200,-200,379
9,2.7,-200,-200,-200,-200
10,-200,-200,-200,-200,286
11,1.1,-200,-200,-200,155
12,1.4,-200,-200,-200,264
13,1.8,-200,-200,-200,366
14,3.6,-200,-200,-200,622
15,3.1,-200,-200,-200,551
16,1.9,-200,-200,-200,349
17,1.7,-200,-200,-200,285
18,1.7,-200,-200,-200,265
19,1.6,-200,-200,-200,222
20,1.6,-200,-200,-200,237
21,1.7,-200,-200,-200,294
22,2.2,-200,-200,-200,329
23,3.3,-200,-200,-200,487
0,3.9,-200,-200,-200,604
1,5,-200,-200,-200,728
2,4.2,-200,-200,-200,653
3,3.2,-200,-200,-200,509
4,1.7,-200,-200,-200,277
5,1.5,-200,-200,-200,268
6,1.3,-200,-200,-200,193
7,1.2,-200,-200,-200,167
8,1.3,-200,-200,-200,159
9,0.8,-200,-200,-200,-200
10,0.6,-200,-200,-200,89
11,0.8,-200,-200,-200,97
12,0.9,-200,-200,-200,182
13,1.1,-200,-200,-200,262
14,3.4,-200,-200,-200,561
15,3.6,-200,-200,-200,540
16,3.1,-200,-200,-200,480
17,3.3,-200,-200,-200,608
18,3.4,-200,-200,-200,584
19,2.8,-200,-200,-200,426
20,2.6,-200,-200,-200,397
21,3,-200,-200,-200,473
22,2.9,-200,-200,-200,369
23,3.8,-200,-200,-200,532
0,3.8,-200,-200,-200,498
1,3.6,-200,-200,-200,487
2,4.5,-200,-200,-200,629
3,3.7,-200,-200,-200,502
4,2.4,-200,-200,-200,381
5,1.7,-200,-200,-200,250
6,1.7,-200,-200,-200,266
7,1.7,5.6,9.5,69.5,226
8,1.9,8.1,9.1,70.9,259
9,2,8.5,8.1,72.1,-200
10,2,7.7,7.9,72.1,260
11,1.7,6.8,7.6,72.7,242
12,1.8,8.1,7.5,71.7,267
13,2.2,11.1,7.9,70.6,411
14,3.7,16.4,8.6,69,670
15,4.8,21.6,9.1,67.5,830
16,4.8,19.3,9.8,65.8,845
17,5.2,22.9,11.2,61.9,992
18,5.9,25.3,12.8,60.1,1130
19,5.9,25.2,13.4,62.4,977
20,3.1,13.2,14.3,61.2,459
21,2.6,13.9,14.6,59.6,346
22,2.8,13.8,14.2,60,383
23,2.8,13.5,13.8,62.6,414
0,2.8,13.5,13.6,64,370
1,3.1,15,13.4,64.5,400
2,3.3,14.9,13.5,64.7,378
3,2.7,11.9,13.4,65.3,357
4,2.3,9.2,13.2,64.5,333
5,1.6,6,13.2,62.3,227
6,1.6,5.6,12.5,63.7,203
7,1.7,5.4,12.3,64.6,210
8,1.6,5.4,12.5,63.8,198
9,1.4,3.5,12.6,62.7,-200
10,-200,2.5,12,64.6,89
11,0.9,3.4,10.7,69.5,89
12,0.8,1.8,12.4,62.6,101
13,0.7,2.6,12.3,62.7,104
14,1.1,4,11.4,66.6,192
15,1.5,6.2,11.1,70.2,237
16,1.5,5.8,13.4,61,211
17,1.6,6.3,15.9,52.2,230
18,1.6,5.9,15.6,54,240
19,2,8.5,16.3,51.5,295
20,1.7,6.2,16.5,50.8,243
21,1.5,6.4,16.3,51.9,196
22,2,7.9,16.2,53,237
23,1.9,7.7,15.6,54.8,274
0,2.1,8.9,14.5,57.5,352
1,2.8,12.4,14,60.1,488
2,2.7,11.3,13.5,63,426
3,2.4,8.4,12.6,65.4,376
4,1.6,7.3,12,67.5,237
5,1.7,5.9,10.5,72,199
6,1.3,4.3,10,70.9,164
7,1.4,3.6,9.8,70.7,142
8,1.2,3.1,8,75,142
9,1,2.5,7.9,75.1,-200
10,1,2.5,7,77.3,127
11,0.6,1.4,7.2,74.4,73
12,0.7,1.8,6.7,75,100
13,1,3.1,6.4,76.3,126
14,1.7,7.6,6,78.5,284
15,3,15.3,6.3,77.4,419
16,2.4,9.3,7.7,73.8,432
17,2.2,11,10.2,61.5,310
18,2.6,10.6,11.3,58.1,446
19,2.5,11.4,10.6,62.3,464
20,3,13.1,11.1,62,505
21,3.3,14.8,12.6,57.7,564
22,3.8,16.5,13.3,56.2,625
23,3.6,16.5,11.2,65.3,590
0,5,21.5,8.8,74.6,712
1,5.7,22.2,7.2,78.5,723
2,5,20.5,6.5,80,707
3,4.8,17.7,5.8,83.8,737
4,3.9,15.4,5.5,83.5,646
5,3.3,11.6,5.8,81.3,536
6,3.4,13,5.4,82.6,567
7,2.4,6.7,6.4,76.3,357
8,1.4,4.6,7,73.6,187
9,1.4,3.8,7.2,72.3,-200
10,1.2,3.4,7.9,69.3,169
11,1.2,3.4,7.4,71.7,184
12,1.2,3.6,7.7,71.9,205
13,1.3,4.5,8.1,68,213
14,2.3,10,6.7,77.1,415
15,3.4,14.7,6.8,77.9,583
16,3,11.3,8.9,66.7,462
17,2.5,10.4,11.6,54.1,387
18,2.7,11.2,13.5,49.4,414
19,2.8,13.1,13.8,50.9,440
20,3.6,14.3,13.4,55.9,516
21,3.1,12.8,12.9,59,495
22,4.3,18.9,13.3,59,643
23,4.6,17.9,13,61.9,725
0,4.3,16.5,12.5,63.6,683
1,4.3,16.9,12.2,65.8,681
2,5.5,22.4,12.6,65.2,833
3,3.4,13.6,13.3,63.6,514
4,2.4,9.1,13.5,62.6,371
5,1.6,6,14.1,59.6,213
6,1.7,6.3,14,61.4,242
7,1.6,5.5,13.5,63.4,241
8,1.3,5.6,13.2,64.2,218
9,0.8,3.4,13.6,62.2,-200
10,-200,2.3,13.7,61.1,70
11,0.6,1.8,13.5,63.8,54
12,0.6,1.6,12.5,67.3,60
13,0.5,1.6,13.2,64.2,55
14,0.6,2,13.1,63.4,93
15,0.7,1.9,13.8,60.5,81
16,0.9,3.5,13.7,60.4,109
17,1.5,5.7,14,59.7,251
18,1.9,8.1,15,56.2,284
19,1.9,8.1,16.9,50.9,262
20,2.2,12.6,16.6,52.4,256
21,3.8,18.1,16.4,53.2,310
22,2,8.7,16.1,52.8,269
23,2.2,8.8,15.7,54.4,348
0,3.3,14.1,15.4,55.3,396
1,2.7,9.3,15.2,54.7,432
2,2.6,11.6,14.7,56.6,419
3,2.5,9.6,14.4,58.2,412
4,1.5,5.8,14.3,59.2,223
5,1.9,7.5,14,60.4,242
6,2,7.4,13.7,63.6,288
7,1.7,7.4,13.1,68.7,209
8,1.2,3.9,13.2,69.9,141
9,0.9,2.1,12.8,71.2,-200
10,0.6,1.3,12.9,70.4,66
11,-200,1.8,12.4,72.5,64
12,-200,3,13,70.3,105
13,0.4,6.7,12.3,73.3,303
14,2.6,21,12.8,71.8,620
15,3.5,21.4,13.1,70.2,590
16,2.1,16.1,12.8,71.8,592
17,2.1,16.4,13.1,70.3,698
18,1.7,14.8,13.7,67,482
19,2.6,20.1,14,65.4,575
20,2.6,19.3,14.4,63.8,548
21,2.4,19.3,14.1,65.9,498
22,2.4,17.4,14.1,65.9,479
23,2,17,14.1,66,420
0,2,17.1,14,66.4,378
1,3.1,16.4,13.8,66.4,340
2,3.3,17.3,13.4,68.1,399
3,3.3,14.6,13.2,69.1,449
4,2.6,11.9,13,70,374
5,1.7,7.3,12.7,69.9,244
6,1.8,7.7,12,71.9,256
7,1.5,4.9,13.2,66.8,212
8,1.1,3.9,12.4,69.5,146
9,0.9,2.1,13.1,65.7,-200
10,0.7,2.9,11.8,70.6,96
11,0.7,2.6,12.3,68,106
12,0.9,3.3,12,69.2,115
13,1.3,5.2,11.7,69.8,236
14,3.2,19,12.1,67.6,583
15,5.1,26.5,12.5,65.1,662
16,3.7,15.3,12.8,62.5,528
17,3.2,15.6,13.4,59.9,549
18,3.1,16.4,13.4,57.9,531
19,3,16.1,13.6,56.4,493
20,3.6,18.8,13.8,56.3,527
21,3.2,18,13.7,57.9,487
22,3.9,20.1,13.6,58.9,581
23,3.4,17.6,13.4,59.7,531
0,3.9,19.3,13.3,61.2,495
1,3.6,19.7,13.2,61.8,487
2,4.7,24.5,12.9,61.5,596
3,4.1,18.4,12.6,63.9,595
4,3.4,16.6,12,67.4,559
5,3.5,16.2,11.9,69,586
6,1.2,9.6,12,66.6,399
7,2.4,11.4,11.4,69.6,399
8,2.1,9.1,11.2,70.3,381
9,1.1,4.3,11.5,68.2,-200
10,-200,4.2,10.7,71.3,162
11,1,4.7,10,74.8,183
12,1.4,7.3,9.2,78.5,357
13,1.8,9.3,8.8,79.4,479
14,3.8,17.8,8.7,79.4,852
15,4.1,20.1,8.9,76.5,822
16,4.4,19.6,9.9,73.3,910
17,3.5,16.5,11.8,65.5,800
18,3.5,17.3,13,60.9,758
19,3.8,17.7,14.7,52.3,647
20,3.1,15.2,15.1,49.6,431
21,3.4,18.2,15.7,48.8,491
22,3.3,17.2,15.8,48.9,476
23,3.4,17.6,14.6,54,538
0,4.7,25.4,14.3,56.3,621
1,5.7,28.4,14.1,57.8,728
2,5.6,27.5,13.1,62.9,716
3,5.9,23.3,12,67.5,782
4,3.6,15.2,10.7,70.9,550
5,2.5,11.1,10,73.2,377
6,2.9,11.5,9.4,75,391
7,2.5,10.2,8.5,76.9,433
8,1.7,6,8.4,75.9,287
9,1.6,6.3,6.9,80.7,-200
10,1.1,3.7,6.2,82.1,192
11,0.9,3.2,7,77.3,161
12,1,3.7,6.5,79.7,194
13,1.6,8,7.7,76.8,343
14,3.1,16.3,8.2,74.9,624
15,4.1,24,8.8,73.2,758
16,3.9,15.7,9.7,70.1,760
17,3.6,16.5,11.7,62.7,713
18,3.2,12.8,13.1,58.5,615
19,2.2,11.3,14.2,54.1,319
20,2.4,12.9,14.2,54.3,338
21,2.7,14.1,14,56.3,380
22,2.7,15.8,13.5,57.8,366
23,3.9,19.9,12.3,63,567
0,5.2,26.6,11.4,68,702
1,4,19.8,10.8,69.5,523
2,2.9,13.3,11,67.1,373
3,3.3,13,9.5,71.3,467
4,2,7.5,8.8,71,260
5,1.8,7.8,8,73.4,244
6,2.7,8.8,7.6,73,317
7,1.8,6.4,7.1,73.9,224
8,1.3,4.5,7.1,73.5,176
9,1,3.6,6.7,75,-200
10,1.1,4.2,5.1,81.3,103
11,1.6,6.9,4.3,82.9,367
12,1.3,5,5.3,80.4,326
13,1.4,7.3,5.7,79.3,374
14,5,24.5,6.8,74.8,756
15,4.3,16.9,6.9,75.2,690
16,4.1,17.7,8,71.9,754
17,3.8,17.1,9.3,67.1,750
18,3.1,14.7,10.2,63.6,590
19,3.3,17.4,11,60.9,525
20,3.1,15.1,11.3,60.1,406
21,2.7,14.5,12.2,56.9,360
22,3.4,16.9,11.9,59.1,448
23,5,24.3,10.3,66.3,733
0,5.7,26.1,8.2,74.9,847
1,5.8,26.4,7.9,77.1,765
2,5.8,25.7,8.3,75,715
3,5,18.2,8.2,75.2,716
4,1.7,6.2,8.3,69.7,235
5,1.6,6.7,6.7,74.4,198
6,2.3,7.5,6.4,74.9,293
7,2.4,7.5,4.9,80.1,356
8,2,6.2,4.8,79.4,285
9,1.6,5.1,3.3,82.6,-200
10,-200,4.8,2.4,86.6,266
11,1.1,3.1,3.4,81.4,158
12,1,2.8,4.2,77,95
13,1.3,4.3,3.5,80.8,148
14,1.9,9.7,3.5,80.3,337
15,2.6,10.9,4,78.5,453
16,2.7,10.6,4.5,76.6,497
17,2.4,10,5.6,72.3,448
18,2.7,11.6,7.5,64.4,496
19,3.1,15.6,8.9,60.8,535
20,4.4,18.1,10.6,55.3,644
21,3.2,12.3,12.3,46.3,459
22,2.9,11.4,12.2,47,409
23,3,15.2,10.5,55.1,515
0,3.7,17.4,8.7,66.3,640
1,5.2,20.8,7.9,69.9,816
2,3.3,12.8,7.6,65.3,505
3,3.6,14.7,6.5,67.6,560
4,2.3,8.3,5.9,66.4,389
5,3,11.1,5.2,70,492
6,3.8,13.6,5.2,67.8,531
7,3.2,9.8,4.9,67.1,487
8,2.1,7.6,5.1,65.5,293
9,1.7,6,4,69.5,-200
10,1.7,5.9,3.7,68.9,219
11,1.4,4.2,4.5,62.7,198
12,1.2,4.5,4.7,62.3,166
13,1.4,5.4,3.9,67.1,255
14,1.4,4.8,5.7,54.5,312
15,1.7,6.3,6.1,50.3,236
16,1,2.6,9,39.5,172
17,1,2.6,10.7,34.4,138
18,0.8,2.2,11.1,33.4,121
19,1,3,11.9,30.8,143
20,0.8,1.9,11.4,32,114
21,0.7,2,11.3,32.5,107
22,1.1,2.8,11,33,176
23,1.1,3.3,10.3,35,180
0,1.2,3.4,8.4,40.9,212
1,2,7.1,8.3,38.5,331
2,2.2,7.4,8.1,37.9,369
3,1.5,4.3,7.7,39,274
4,1.2,3.9,7,41.5,199
5,1.5,5.2,6.6,42.6,248
6,1.4,3.8,6.4,44.2,197
7,1.2,3.5,6,46,147
8,1,2.9,4.4,53.1,135
9,0.6,1.4,4,54.3,-200
10,0.7,1.1,3.7,55.8,95
11,0.5,1,2.6,58.6,94
12,0.7,1.6,3.2,56,121
13,1,3.2,3.6,55.4,131
14,3,15.9,1.8,63.3,552
15,4.1,18,2.4,60.2,614
16,3.1,14.7,4.6,52.1,530
17,3.8,15.1,8.2,40.5,721
18,2.7,13.4,10.5,34.7,474
19,3.1,14.5,11.1,33.3,514
20,3.1,14.7,11.1,32.6,504
21,3.2,17,12.4,28.3,508
22,3.3,15.3,12.9,24.5,529
23,4,21.2,11.4,28.7,676
0,8.6,43,9.2,39.3,1216
1,8.7,37.2,7.8,48.1,1230
2,3.6,16.7,7.2,50.6,582
3,3,13.4,6,53.3,460
4,1.9,8.7,5.3,55,340
5,1.9,7.4,4.2,58.1,298
6,1.6,6.7,3.4,60.9,300
7,1.4,5,3,60.2,223
8,1,3.4,3.2,58.8,151
9,0.7,2.4,3.3,57.7,-200
10,-200,2.1,4.5,53.8,108
11,0.8,2.5,3.1,59.7,125
12,0.9,3.5,4.2,57.1,181
13,1.5,6.9,3.4,58.5,341
14,3.1,16.8,3.9,57.3,552
15,5.1,20.3,4.3,56.8,839
16,5.8,25,5.6,52.9,1049
17,3.8,17.2,5.5,54.9,796
18,4.4,21.4,5.1,64.3,999
19,4.9,25.1,5.5,66.1,1022
20,5.2,28,5.5,69.3,1023
21,4.6,26.1,5,75.5,1065
22,4.8,24.7,5.2,76.2,1098
23,4.9,24.5,5.3,77.4,1099
0,4.9,27.7,5,79.6,939
1,5.5,26,5.1,83,875
2,4.2,21.7,6.4,82.9,745
3,1.5,6,10.3,74,339
4,0.1,3.3,11.3,71.8,135
5,0.2,4.9,9.8,81.9,167
6,0.9,6.6,9.5,83.8,232
7,1,6.7,9.9,81,273
8,0.4,4.4,9.9,79.8,165
9,-200,1.5,6.9,76.4,-200
10,-200,1.1,4.8,75.7,75
11,-200,0.9,4.7,78.9,53
12,-200,1.2,5,75,72
13,0.1,2.5,5.6,69.5,130
14,0.7,7.6,7,64.9,265
15,1.2,7.3,7.1,65.4,314
16,0.2,3.7,6.4,67.4,194
17,-200,2.5,5.3,75.9,180
18,-200,2.7,6.3,73,181
19,0.3,4.6,8.6,63.3,193
20,0.6,6.7,10,55,263
21,0.2,4.3,9.4,53.6,176
22,0.2,4.3,9.2,55,168
23,0.7,4.1,8.7,55.1,170
0,1.8,7.6,8.9,54.4,234
1,2.2,7,8.6,53.6,256
2,2.3,9.6,9,50.4,257
3,2.6,7.8,9.2,49.8,317
4,1.1,2.4,8.8,52.1,135
5,1.2,3.9,8.8,50.9,159
6,1.8,4.1,8.7,51.1,186
7,1.1,2.5,8.6,51.5,102
8,0.9,1.3,8.5,51.9,75
9,0.7,1.2,8.1,53.1,-200
10,0.6,0.7,7.8,54.2,41
11,0.6,0.9,7.1,56,50
12,0.9,2.9,7,57.6,189
13,1,2.7,7.5,55.3,182
14,3.4,14.4,7,56.3,636
15,4.2,17.2,7.6,53.5,704
16,4.4,17.4,8.3,50.5,854
17,2.9,11.5,12.4,37.1,652
18,2.6,11.9,13.9,32.3,529
19,2.6,12.6,14.4,28.9,438
20,3,14.3,14.8,25.4,438
21,2.3,10.3,15.1,20.8,378
22,3,14.5,15.4,23.5,482
23,4.5,21.9,13.7,28.1,709
0,6,28.5,11.5,37.5,796
1,4.3,21.2,10.4,42.3,605
2,3.4,16,9.9,44,472
3,2.8,13,8.7,48.3,411
4,2.1,7,8.1,49.9,264
5,1.7,6.4,7.3,52.8,217
6,1.8,5.8,8,52.2,211
7,1.6,5.6,6.8,56.4,179
8,1.4,4.5,6.7,57.4,135
9,1.3,4.6,5.9,62.1,-200
10,-200,5.9,5.4,65.9,221
11,1.3,6.6,5.5,66.5,284
12,1.6,9.2,5.9,65.8,357
13,2.4,12.2,6.4,63.9,469
14,4.5,22.6,7.2,62.2,766
15,5.7,29,7.9,60,875
16,4.3,19.4,8.3,58.5,800
17,4.2,20.5,9.3,54.5,815
18,4.5,22.5,10.2,53.1,841
19,5,24,11.1,51.4,827
20,2.9,13.9,12.8,46.9,402
21,3,16.8,13.1,48,415
22,3.3,20.2,13.5,51.5,435
23,1.4,16.4,13.4,51.2,570
0,2.3,18,12.1,55.3,530
1,1.6,20.3,12,56.5,617
2,4.9,38.1,10.4,64.4,983
3,6.4,35.7,9.4,69.1,1200
4,3.5,21.8,8.9,71,1028
5,1.7,18.2,8.1,73.8,797
6,2.6,20.1,7.3,76.8,977
7,1.6,14.4,7.3,76.7,811
8,1.5,15.1,7.1,77.3,757
9,0.9,13.1,6.7,78.7,-200
10,0.5,11.5,7,77.8,388
11,0.9,13.7,5.7,80.5,497
12,0.4,11.6,5.2,81.4,582
13,0.5,13.2,5.6,80.4,574
14,0.8,15.6,6.3,78.8,588
15,1.4,16.9,6.9,76.9,645
16,1.6,18.5,9.2,67.7,643
17,1.5,16.6,11.6,59.8,628
18,1,15,14,52,547
19,1,15,15,50.2,461
20,1.3,16.9,14.9,49.9,455
21,0.1,7,15.8,33.8,244
22,-200,5.9,15.4,29.3,202
23,-200,7.1,14.4,25.7,256
0,0.1,8.6,13.4,27.2,310
1,0.4,12.2,12.2,28.7,391
2,0.7,12.6,11.3,25.7,444
3,2.7,21.1,9.7,31.9,794
4,2.1,16.9,8.4,36.5,716
5,1.3,15.1,8.2,36.8,565
6,0.8,10.1,8,36,451
7,-200,7.5,7,39.9,313
8,-200,7.6,5.7,44.3,241
9,-200,5.9,4.7,46.6,-200
10,-200,5.5,4.2,50.8,224
11,-200,2.3,4.6,45.1,82
12,-200,2,2.7,53.3,89
13,-200,1.6,3.1,51,93
14,-200,2.1,2.5,54.1,134
15,-200,4.4,3.1,53.5,189
16,-200,6.4,5,47.5,292
17,-200,7.3,5.8,43.4,326
18,-200,8.7,7.1,42.8,397
19,-200,9.2,7.9,41.6,371
20,-200,7.9,8.1,41.2,305
21,-200,9,8.3,41.3,328
22,-200,7,8.9,49.1,281
23,-200,3.7,7.1,66,168
0,-200,4.3,5.7,75.1,183
1,-200,6.8,5.4,77.6,217
2,-200,8.7,5.4,78.2,245
3,-200,4.7,7.3,68.1,154
4,-200,3.5,5.8,74.4,141
5,-200,5.4,6.2,72.3,210
6,-200,4.4,5.9,72.7,140
7,-200,6,5,76.5,191
8,0.1,7.6,4,80.4,248
9,-200,1.9,5.8,59,-200
10,-200,1,5.8,59.5,50
11,0.3,0.6,6.6,51.3,43
12,0.5,1.2,7,47.2,86
13,0.6,2.9,6.6,47.9,152
14,1.8,11.1,7.2,49.8,341
15,2,9.7,6.9,52.8,355
16,1.4,5.7,8.7,46.7,327
17,0.6,5.4,10,40.6,240
18,0.5,5.1,11.8,35.4,217
19,0.7,5.8,10.7,37.2,191
20,0.7,5.6,10.9,34.9,-200
21,1.1,8,10.7,33.1,256
22,1.3,7.1,10.6,34.2,287
23,1,7.6,8.9,38.1,278
0,1.5,10.4,7.8,39.7,302
1,1.5,8.9,7.3,42.2,259
2,1.2,7.3,6.9,42.5,221
3,0.3,3.6,6.6,43.2,142
4,-200,1.7,6.4,41.7,93
5,-200,1.5,6.1,42.6,71
6,-200,1,5.9,41.8,66
7,-200,0.6,5.7,41.5,49
8,-200,0.4,5.5,42.4,29
9,-200,0.3,4.5,52,-200
10,-200,0.2,4.3,51.6,19
11,-200,0.2,3.7,56.3,20
12,-200,0.1,3.3,58.1,39
13,-200,0.4,3.9,47.3,77
14,0.2,2.9,4.3,45.9,180
15,0.7,5.4,4.2,50.1,243
16,0.5,5.1,3.4,62.7,236
17,0.4,3.8,5,51.4,297
18,0.3,3.9,5.7,44.1,235
19,0.3,3.6,5.2,44.5,186
20,0.4,4.2,4.7,48.6,196
21,0.2,3.6,4.5,51,167
22,0.4,3.6,5.1,50.1,211
23,0.4,3.9,5,50.4,194
0,0.7,4.9,4.3,56.4,206
1,1,5.8,4.3,56.7,211
2,1.1,6.1,4.3,57,197
3,0.3,2.8,3.5,60.3,139
4,0.1,2.4,4.1,52.5,113
5,-200,1.5,3.9,50.6,81
